,P/E,P/B,EV/EBITDA,Revenue CAGR (5Y),EPS CAGR (5Y),ROE,P/E_Rank,P/B_Rank,EV/EBITDA_Rank,Revenue CAGR (5Y)_Rank,EPS CAGR (5Y)_Rank,ROE_Rank,Fundamental_Score
300750.SZ,37.75997084573316,,,0.405608672460928,0.4472661309432273,,0.21153846153846156,0.5,0.5,0.9636963696369637,0.9369747899159664,0.5,0.7331027422393176
AA,166.96705706666665,,,-0.007099883073039215,-0.51647918949222,,0.03076923076923077,0.5,0.5,0.17491749174917492,0.01680672268907563,0.5,0.17166934405140577
AAL,10.264109995271868,,,0.21962387961897,,,0.8730769230769231,0.5,0.5,0.9141914191419142,0.5,0.5,0.5970481086570195
AAPL,36.10985037478797,,,0.01812535743479393,0.06791224750372327,,0.23461538461538467,0.5,0.5,0.27722772277227725,0.5378151260504201,0.5,0.38104277202122283
ABT,16.73868511565438,,,-0.008782655004365925,0.2452172760919351,,0.7,0.5,0.5,0.16831683168316833,0.8445378151260504,0.5,0.4608444268796628
ACI,10.377591587732109,,,0.03797169404459688,-0.1545126794044932,,0.8692307692307693,0.5,0.5,0.38613861386138615,0.17647058823529413,0.5,0.3201556829891134
ADBE,25.375368287769785,,,0.10857467624937178,0.0716424739257806,,0.43846153846153846,0.5,0.5,0.735973597359736,0.5504201680672269,0.5,0.541026691712481
ADRNY,21.490876081632653,,,0.057309809207869655,-0.044789614244089004,,0.5653846153846154,0.5,0.5,0.46864686468646866,0.36554621848739494,0.5,0.3982922392109928
AEO,8.9694890521586,,,0.020713510548279412,-0.11891318850896626,,0.9115384615384615,0.5,0.5,0.30033003300330036,0.22268907563025211,0.5,0.3086991590238533
AES,5.857290368076236,,,0.03292269162885186,,,0.9423076923076923,0.5,0.5,0.3564356435643564,0.5,0.5,0.4180851739020056
AIZ,15.008193633254407,,,0.05248936976369345,0.12240400112114247,,0.7423076923076923,0.5,0.5,0.44554455445544555,0.680672268907563,0.5,0.4990973906699009
ALB,,,,0.17345994755576455,,,0.5,0.5,0.5,0.8910891089108911,0.5,0.5,0.5771039603960395
ALC,38.8603614302554,,,0.06129679733169846,0.3882217093808309,,0.18846153846153846,0.5,0.5,0.49504950495049505,0.9117647058823529,0.5,0.5718300031360601
AMD,251.86129776477756,,,0.1620048775845504,-0.271280671598897,,0.019230769230769273,0.5,0.5,0.8844884488448845,0.06722689075630252,0.5,0.41828184434474475
AME,32.627956806218045,,,0.07763345218092632,0.11520119086518843,,0.2846153846153846,0.5,0.5,0.5742574257425742,0.6512605042016807,0.5,0.5161138400523957
