,Fundamental_Score,Quant_Score,Hybrid_Score,Sector
300750.SZ,0.7331027422393176,0.8768181818181818,0.7905889180708634,Industrials
HWM,0.7065820463752903,0.8422727272727273,0.7608583187342651,Industrials
NVDA,0.7489630787577788,0.7377272727272727,0.7444687563455763,Technology
PLNT,0.7322150345286629,0.7581818181818182,0.742601747989925,Consumer Cyclical
COCO,0.6512573788083398,0.8545454545454546,0.7325726091031857,Consumer Defensive
MCK,0.6626274371134592,0.8231818181818182,0.7268491895408028,Healthcare
IDCC,0.7519102446766978,0.6872727272727273,0.7260552377151095,Technology
MA,0.6372745823386474,0.8522727272727273,0.7232738403122794,Financial Services
NFLX,0.589511185281424,0.8636363636363636,0.6991612566233998,Communication Services
V,0.586258962838753,0.8677272727272727,0.6988462867941609,Financial Services
DORM,0.6377239402996537,0.7863636363636364,0.6971798187252468,Consumer Cyclical
MSA,0.6575811695584555,0.7368181818181818,0.689275974462346,Industrials
CRM,0.6906531592073235,0.6504545454545454,0.6745737137062122,Technology
PLTR,0.574509393247017,0.8145454545454546,0.670523817766392,Technology
RMD,0.6676363332842657,0.6513636363636364,0.6611272545160141,Healthcare
GOOGL,0.5735919036312164,0.7918181818181818,0.6608824149060026,Communication Services
AMZN,0.5989715695874693,0.7472727272727273,0.6582920326615725,Consumer Cyclical
TXRH,0.6748732295660077,0.625,0.6549239377396046,Consumer Cyclical
SMR,0.6103547854785479,0.7118181818181818,0.6509401440144015,Industrials
TSM,0.7169395999069849,0.55,0.650163759944191,Technology
ROP,0.5872494991903844,0.7404545454545455,0.6485315176960489,Technology
TSLA,0.5807117523323114,0.7490909090909091,0.6480634150357505,Consumer Cyclical
LYV,0.5965302107133791,0.7245454545454546,0.6477363082462093,Communication Services
WAB,0.623985943196776,0.6772727272727272,0.6453006568271565,Industrials
BSX,0.6254744837767552,0.6686363636363637,0.6427392357205985,Healthcare
PANW,0.5641209697892866,0.7590909090909091,0.6421089455099356,Technology
TDY,0.562189103364118,0.759090909090909,0.6409498256548345,Technology
BYDDY,0.7777071186433446,0.4304545454545455,0.6388060893678249,Consumer Cyclical
BE,0.5685231023102311,0.7250000000000001,0.6311138613861387,Industrials
HIG,0.5446984955444477,0.7536363636363637,0.6282736427812141,Financial Services
JPM,0.5661319043992311,0.7145454545454546,0.6254973244577204,Financial Services
AWI,0.5807878817939971,0.6859090909090909,0.6228363654400346,Industrials
AME,0.5161138400523957,0.7813636363636365,0.6222137585768921,Industrials
MSFT,0.5887574854770544,0.6709090909090909,0.621618127649869,Technology
AVGO,0.5213447671528627,0.7572727272727273,0.6157159512008086,Technology
CAT,0.5975881030249114,0.6422727272727273,0.6154619527240377,Industrials
PWR,0.6740638060250758,0.5222727272727273,0.6133473745241365,Industrials
RJF,0.5732236458940012,0.665,0.6099341875364007,Financial Services
ULTA,0.5618654384830856,0.6813636363636364,0.6096647176353059,Consumer Cyclical
AZN,0.7052373698908352,0.4445454545454546,0.6009606037526829,Healthcare
NEE,0.6648612400024747,0.4881818181818181,0.5941894712742121,Utilities
EXAS,0.5728135313531353,0.6195454545454545,0.5915063006300629,Healthcare
SYK,0.5678092699379829,0.6231818181818182,0.589958289235517,Healthcare
SO,0.5279893640624566,0.6763636363636364,0.5873390729829285,Utilities
FLUT,0.5651123381568927,0.6204545454545455,0.5872492210759538,Consumer Cyclical
APTV,0.6427210869115353,0.4818181818181818,0.578359924874194,Consumer Cyclical
PHM,0.6333962572081384,0.4886363636363636,0.5754922997794285,Consumer Cyclical
COH.AX,0.5714209579490592,0.5768181818181819,0.5735798474967083,Healthcare
FSLR,0.6937709897363362,0.3927272727272727,0.5733535029327108,Technology
OLLI,0.5231070196547773,0.6481818181818182,0.5731369390655936,Consumer Defensive
DGICA,0.5705335782447022,0.5554545454545454,0.5645019651286395,Financial Services
GATX,0.5974263292521883,0.5068181818181818,0.5611830702785857,Industrials
VST,0.546464204112719,0.5831818181818182,0.5611512497403587,Utilities
CTAS,0.5722800864443264,0.5440909090909091,0.5610044155029594,Industrials
CRCL,0.5961709824828636,0.5,0.5577025894897182,Financial Services
ERIE,0.6714221233047675,0.37,0.5508532739828604,Financial Services
NIO,0.5867574257425742,0.4940909090909091,0.5496908190819081,Consumer Cyclical
RSI,0.576526402640264,0.4940909090909091,0.5435522052205221,Consumer Cyclical
WSFS,0.5313915947186186,0.5613636363636364,0.5433804113766257,Financial Services
FOUR,0.5940689261233816,0.4640909090909091,0.5420777193103926,Technology
ENS,0.5339457397582034,0.5540909090909091,0.5420038074912856,Industrials
LI,0.6237223914699161,0.4163636363636364,0.5407788894274042,Consumer Cyclical
WCC,0.5450660386012744,0.5336363636363637,0.5404941686153102,Industrials
CUBE,0.5825312752671518,0.4718181818181818,0.5382460378875638,Real Estate
PPL,0.5560618177202336,0.5077272727272728,0.5367279997230493,Utilities
VITL,0.7547717982851938,0.2054545454545454,0.5350448971529345,Consumer Defensive
EXC,0.5530989715002528,0.5072727272727273,0.5347684738092426,Utilities
ETN,0.5760569802940216,0.4713636363636363,0.5341796427218675,Industrials
VRTX,0.5588696369636964,0.4927272727272727,0.5324126912691269,Healthcare
TM,0.6803568601850489,0.3022727272727272,0.5291232070201203,Consumer Cyclical
YORW,0.5172868919083247,0.5436363636363636,0.5278266805995402,Utilities
LMND,0.6060643564356435,0.4095454545454545,0.5274567956795679,Financial Services
TOL,0.6044433333119996,0.4118181818181818,0.5273932727144726,Consumer Cyclical
LRLCY,0.5707218138588261,0.4468181818181818,0.5211603610425684,Consumer Defensive
CRS,0.5622194719471947,0.4490909090909091,0.5169680468046804,Industrials
DIS,0.6393312031591006,0.3140909090909091,0.509235085531824,Communication Services
PFE,0.5,0.5,0.5,Healthcare
OKLO,0.5,0.5,0.5,Utilities
AMD,0.5,0.5,0.5,Technology
BURL,0.5,0.5,0.5,Consumer Cyclical
DOV,0.5,0.5,0.5,Industrials
URBN,0.5,0.5,0.5,Consumer Cyclical
VYM,0.5,0.5,0.5,ETF
AAPL,0.5,0.5,0.5,Technology
T,0.5,0.5,0.5,Communication Services
