Ticker,Company Name,Value ($),Total %,Recommended %
300750.SZ,Contemporary Amperex Technology Co. Limited,"20,277.41",3.94%,4.05%
AAL,American Airlines Group Inc,"1,451.38",0.28%,0.28%
AAPL,Apple Inc,"4,739.26",0.92%,0.90%
ADBE,Adobe Inc,"1,385.04",0.27%,0.23%
ALB,Albemarle Corp.,"4,757.22",0.93%,0.90%
ALC,Alcon Inc. - Registered Shares,"1,049.49",0.20%,0.23%
AMD,Advanced Micro Devices Inc.,"5,013.31",0.98%,0.90%
AME,Ametek Inc,999.00,0.19%,0.23%
AMZN,Amazon.com Inc.,"4,590.60",0.89%,0.90%
APTV,Aptiv PLC.,"1,145.55",0.22%,0.23%
ARMK,Aramark,"1,138.50",0.22%,0.23%
ATI,ATI Inc,"1,104.51",0.21%,0.23%
AVGO,Broadcom Inc,"1,170.72",0.23%,0.23%
AWI,Armstrong World Industries Inc.,"16,180.56",3.15%,3.28%
AXTA,Axalta Coating Systems Ltd,"1,308.60",0.25%,0.28%
AZN,Astrazeneca plc - ADR,"4,328.64",0.84%,0.90%
BE,Bloom Energy Corp,"1,430.16",0.28%,0.23%
BEP,Brookfield Renewable Partners LP - Unit,"1,106.43",0.22%,0.23%
BSX,Boston Scientific Corp.,"1,072.72",0.21%,0.23%
BURL,Burlington Stores Inc,"4,892.04",0.95%,0.90%
BYDDY,BYD Co - ADR,"1,159.20",0.23%,0.23%
CAT,Caterpillar Inc.,"1,206.34",0.23%,0.23%
CHPT,ChargePoint Holdings Inc,"1,866.97",0.36%,0.28%
COCO,Vita Coco Company Inc,"30,774.66",5.99%,4.95%
COH.AX,COCHLEAR FPO,"2,314.46",0.45%,0.45%
COUR,Coursera Inc,"1,451.68",0.28%,0.28%
CRCL,Circle Internet Group,"1,369.92",0.27%,0.23%
CRM,Salesforce Inc,"1,302.85",0.25%,0.23%
CRS,Carpenter Technology Corp.,921.36,0.18%,0.23%
CTAS,Cintas Corporation,"1,120.50",0.22%,0.23%
CUBE,CubeSmart,"1,391.94",0.27%,0.28%
DGICA,Donegal Group Inc.,"1,355.90",0.26%,0.28%
DIS,Walt Disney Co (The),"1,158.30",0.23%,0.23%
DORM,Dorman Products Inc,"23,299.92",4.53%,4.95%
DOV,Dover Corp.,"4,395.07",0.86%,0.90%
DUOL,Duolingo Inc,"6,392.00",1.24%,1.10%
EIX,Edison International,"1,103.71",0.21%,0.23%
ENS,Enersys,"1,476.50",0.29%,0.28%
ERIE,Erie Indemnity Co.,"1,185.84",0.23%,0.23%
ETN,Eaton Corporation plc,"4,389.58",0.85%,0.90%
